,country,description,designation,points,price,province,region_1,region_2,variety,winery,Red?,Wine_Bins
75,Italy,"A perfect wine from a classic vintage, the 2007 Masseto (100% Merlot from a 17-acre vineyard of the same name) opens with an unabashedly opulent bouquet of delicious blackberry, cherry, chocolate, vanilla, exotic spice and cinnamon. Masseto excels both in terms of quality of fruit and winemaking and delivers plush, velvety tannins and an extra long, supple finish. It will make a special and valuable collection to your cellar.",Masseto,100,460.0,Tuscany,Toscana,Toscana,Merlot,Tenuta dell'Ornellaia,True,Iconic: Over $50
76,Italy,"Fruit was picked later than normal and the Masseto Merlot does indeed show mature aromas of black cherry, ripe blackberry, earthy iron and polished stone. The intensity and purity are amazing and the wine is sophisticated, soft and very rich on the finish. It is already showing beautiful evolution in the glass.",Masseto,95,460.0,Tuscany,Toscana,Toscana,Merlot,Tenuta dell'Ornellaia,True,Iconic: Over $50
77,France,"This is a wine for aging. The tannins are dense, very dry with a feel of extraction. It takes a while for the black currant fruit to show through, with acidity and freshness dominant. The wine is still settling, and time will bring the fruit into line with the tannins.",*Unknown Wine*,94,455.0,Bordeaux,Pauillac,Pauillac,Bordeaux-style Red Blend,Château Lafite Rothschild,True,Iconic: Over $50
78,France,"The balance of this wine is what makes it so impressive. Spice and yellow fruit intermingle effortlessly. There is a core of tight, coiled steel, like a spring, which gives minerality along with the richness. At the end, acidity lifts the wine, finishing with freshness as well as intensity.",*Unknown Wine*,97,451.0,Burgundy,Bâtard-Montrachet,Bâtard-Montrachet,Chardonnay,Domaine Leflaive,False,Iconic: Over $50
85,US,"Smells a bit minty and peppery, but once in the mouth, turns ultra-generous in black currant, chocolate-covered mint and spicy cedar flavors. Massive, yet refined and elegant, and even with the firm tannins, grows more charming as it warms in the glass. Very fine quality, and likely to hold for many years.",*Unknown Wine*,95,450.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Harlan Estate,True,Iconic: Over $50
90,Spain,"This is the granddaddy in the Emilio Moro portfolio, but the wine is so ripe and oaky it's syrupy-smelling. Maximum ripeness means it's a bit Port-like on the palate, with baked black-fruit flavors that finish soft and jammy. This brims with power, extraction and flavor but it's grasping for structure. Drink through 2019.",Clon de la Familia,93,450.0,Northern Spain,Ribera del Duero,Ribera del Duero,Tinto Fino,Emilio Moro,True,Iconic: Over $50
89,France,"This bottling from Guigal's own Hermitage holdings is incredibly rich and ripe (15.5% alcohol). In fact, it comes dangerously close to being overblown before the syrupy cherry fruit is reined back in by underlying spice and minerality. Expect that minerally edge to assert itself more with time in the cellar, making this a wine worth revisiting in 10 years' time.",Ex Voto,94,450.0,Rhône Valley,Hermitage,Hermitage,Syrah,E. Guigal,True,Iconic: Over $50
88,Spain,"Hailing from the hottest vintage in years, this is round, rubbery and showing sweet, rooty aromas of root beer, cola, mocha and stewed plum. Dense but soft, it has rubbery, savory flavors of barbecue sauce, herbal plum, tomato and carob. An earthy, loamy, chunky finish offers tobacco and baking spice accents. Drink through 2020.",Unico,91,450.0,Northern Spain,Ribera del Duero,Ribera del Duero,Tempranillo Blend,Vega Sicilia,True,Iconic: Over $50
87,France,"A serious wine, filled with firm tannins, spiced with wood, and layered with bitter coffee as well as fruit. It certainly has power, the structure ready for long aging, firmly anchored in the dense character of this wine. It is a medium aging wine, 5–10 years.",*Unknown Wine*,94,450.0,Bordeaux,Pessac-Léognan,Pessac-Léognan,Bordeaux-style Red Blend,Château Haut-Brion,True,Iconic: Over $50
86,France,"The wood element is important here, but it is based on a firm Cabernet Sauvignon structure, dry but rich tannins. The wine is a great success for the vintage, giving sweetness, ripe fruit that only shows light extraction, and dark plum and berry flavors. The feeling is of polished fruit and wood, rounded but always dense.",*Unknown Wine*,95,450.0,Bordeaux,Pauillac,Pauillac,Bordeaux-style Red Blend,Château Mouton Rothschild,True,Iconic: Over $50
83,France,"There is a sense of pure juicy black-currant fruit that shoots through this great wine. With tannins that are firm while not a jot too much, the wine is crisp, packed with fruit and set for many years of aging. It is beautiful, fruity and intensely structured. Drink from 2027.",*Unknown Wine*,97,450.0,Bordeaux,Margaux,Margaux,Bordeaux-style Red Blend,Château Margaux,True,Iconic: Over $50
84,France,"Dense and rich but also incredibly complex, long and elegant, this is a momumental Côte-Rôtie. It's darkly fruited and superripe, yet doesn't lose its essential sense of terroir, remaining marked by scents of pepper and espresso to go with the chocolate and cassis fruit. Velvety in texture, this is the one of Guigal's 2003 Côte-Rôties that demands a few years of cellaring. Drink 2010–2040.",La Landonne,99,450.0,Rhône Valley,Côte Rôtie,Côte Rôtie,Syrah,E. Guigal,True,Iconic: Over $50
82,France,"This is breathtaking stuff, incredibly complex on the nose, where it features hints of vanilla, clove, cinnamon, cassis, pepper and asphalt. It would be a wine to sit and smell all day if it weren't so delicious to taste. Rich waves of cassis fruit cascade over the palate without losing complexity, buffered by incredibly supple tannins. The virtually endless finish confirms the quality. Drink now–2030+.",La Turque,98,450.0,Rhône Valley,Côte Rôtie,Côte Rôtie,Syrah,E. Guigal,True,Iconic: Over $50
81,France,"How can a wine be this hugely concentrated, yet remain supremely elegant? Espresso, black olive and floral notes zoom from the glass, backed by layers of rich, creamy cherry fruit, making this a complex, complete wine. Tannins are amazingly supple, imparting a velvety feel to the long finish. Drink now–2025 and beyond.",La Mouline,96,450.0,Rhône Valley,Côte Rôtie,Côte Rôtie,Syrah,E. Guigal,True,Iconic: Over $50
80,France,"Silky wine, fresh and light, balanced with high acidity cutting through black berry fruits. The structure has some substance, but this is a light, aromatic wine, developing fast, already delicious, and only for medium-term aging.",*Unknown Wine*,93,450.0,Bordeaux,Margaux,Margaux,Bordeaux-style Red Blend,Château Margaux,True,Iconic: Over $50
79,Spain,"Luscious prune and blackberry aromas come with complex notes of graphite, toast and tobacco. The palate on this 80-case, high-end Tinto Fino is about as full as they come while still maintaining impeccable balance. Roasted berry, cassis and salty leather flavors are delicious but also challenging, while baked berry flavors, raw power and ripe tannins define the finish. Drink this outstanding Spanish wine from 2014 through 2024.",Clon de la Familia,98,450.0,Northern Spain,Ribera del Duero,Ribera del Duero,Tinto Fino,Emilio Moro,True,Iconic: Over $50
91,Germany,"One of the palest icewines to come across our tasting table, this is an extraordinarily fine example, with great purity of fruit and incredible balance. Tangerine and pineapple flavors shine with pristine clarity from start to finish, making it very drinkable.",Serrig Schloss Saarsteiner Eiswein,95,448.0,Mosel,Mosel,Mosel,Riesling,Schloss Saarstein,False,Iconic: Over $50
94,Italy,"Dense and concentrated in appearance, Sorì Tildìn (with 5% Barbera) is the plushest and roundest of Gaja's single-vineyard wines. Thanks to the quality of the fruit, the excellent vintage and 12 months of barrique, the final result is an austere and important wine with deep tones of black cherry, licorice, anise, tobacco and cedar. It closes after many long minutes with decisive tannins and cooling freshness. Drink after 2020.",Sorì Tildìn,95,445.0,Piedmont,Langhe,Langhe,Nebbiolo,Gaja,True,Iconic: Over $50
95,Germany,"Even in a flight of top BAs and TBAs, this one stood out. It's hugely sweet and viscous, yet also has amazingly fresh acids that really prolong the finish and promise decades—if not centuries—of cellaring. Golden raisin and dried apricot notes are true to type, and the wine's balance is impeccable.",Trockenbeerenauslese,97,445.0,Rheingau,Rheingau,Rheingau,Riesling,Schloss Johannisberger,False,Iconic: Over $50
92,Italy,"You cannot not love this wine: layered and intense with extraordinary integrity of fruit, it offers supple flavors of dark fruit, spice, tobacco and chocolate. It's dense, succulent and penetrating with polished tannins and long persistency. The palate becomes coated with opulence and richness: 5% Barbera is added. Drink 2015–2030.",Sorì San Lorenzo,96,445.0,Piedmont,Langhe,Langhe,Nebbiolo,Gaja,True,Iconic: Over $50
93,Italy,"Costa Russi (a vineyard purchased by Gaja in 1967) produces a feminine wine with an emphasis on elegance and harmony, rather than power and succulence. Bright red fruit, smoke, cedar, cola and polished mineral notes create a beautiful embroidery of aromas and the wine's firm but composed tannins bring the mouth alive. Keep it in your cellar 10 years or more.",Costa Russi,94,445.0,Piedmont,Langhe,Langhe,Nebbiolo,Gaja,True,Iconic: Over $50
98,Italy,"Always a standout among Gaja's five single-vineyard wines, Sorì San Lorenzo benefits from an excellent vintage to produce what will surely become a must-have bottle for collectors of Italian wine. There's enormous beauty and elegance here, backed by power and intensity with ripe fruit, spice, toasted nut and cola. It also shows impressive linearity and focus. Hold for 10 years or more.",Sorì San Lorenzo,99,440.0,Piedmont,Langhe,Langhe,Nebbiolo,Gaja,True,Iconic: Over $50
99,Italy,"This is an elegant Nebbiolo-based wine and arguably the most feminine of Gaja's newest releases. There's extreme balance and sophistication evident in the focused aromas of wild berry, white licorice, pressed violets and polished stone. The mouthfeel is tight, firm and those tannins need at least 10 more years to soften in your cellar. Beautiful.",Sorì Tildìn,99,440.0,Piedmont,Langhe,Langhe,Nebbiolo,Gaja,True,Iconic: Over $50
96,Spain,"Super pricey but this is a knock-your-socks-off wine with a gorgeous bouquet that shows not even a hint of syrup or jam. The palate is like a nova; it bursts with plum, blackberry and cinnamon. No harshness, not too tannic, and splendid on the finish, where toast and chocolate appear and stick around for a long time. It's 80% old-vines Garnacha and 20% Cabernet, and there just aren't enough superlatives to describe it. Only 300 cases made. Imported by Rare Wine Company.",L'Ermita,98,440.0,Catalonia,Priorat,Priorat,Red Blend,Alvaro Palacios,True,Iconic: Over $50
97,Germany,"So unctuous and decadently sweet that this is one of those TBAs that's best taken in very small sips. Dried apricot, candied pear and caramelized pineapple flavors are concentrated and intense, lingering sweetly on the long finish.",Wehlener Sonnenuhr Vat 59 Trockenbeerenauslese,94,440.0,Mosel,Mosel,Mosel,Riesling,S.A. Prüm,False,Iconic: Over $50
